,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ALOX12B,41.1688002744682,1.92908541781092,0.527467329955901,3.65726047520743,0.000254925291715224,0.000946134697457706
ALOXE3,87.8446679584233,1.51527649379265,0.469430850690732,3.227901386462,0.00124701954975094,0.00381390740773924
ALPG,31.085395717203,5.03725632691616,0.814320598621389,6.18583925722133,6.17729292384445e-10,7.90337454314115e-09
ALPP,344.599968942599,6.52515891222392,0.707063150189455,9.22853766382186,2.74351689257129e-20,2.31561171031550e-18
AMBP,24.9384695836378,2.75078020537138,0.695613401765561,3.95446694728642,7.67054744379208e-05,0.000325068369907019
AMH,180.296558706063,2.89515180039512,0.462755520313322,6.25633120148384,3.94139264239982e-10,5.20779963547567e-09
AMIGO3,2.41067833546134,1.80148916338378,0.501518646918607,3.59206816028149,0.00032806401108486,0.00117837620033361
AMN,365.636253780818,1.52046845315001,0.367922713702385,4.13257566473575,3.58720620273999e-05,0.000165514037182337
AMOTL1,2896.95367842782,-2.00165219801924,0.257450726344983,-7.77489435138369,7.55103993607094e-15,2.24388198796389e-13
AMTN,32.2540005151064,3.57544530686596,0.834414766882641,4.28497367109616,1.82760830713911e-05,9.11463698087487e-05
AMZ1,59.8483379790478,2.04308544595504,0.464944109576062,4.39426030758393,1.11150565776755e-05,5.8420028222833e-05
ANGPTL1,215.586051662165,-3.16800238497204,0.53648276267726,-5.90513359490333,3.52361092574492e-09,3.88753058298637e-08
ANGPTL2,2527.10468783464,-1.590082314501,0.330503980908992,-4.81108369747246,1.50114133869685e-06,9.5836455094601e-06
ANGPTL5,3.86006842466907,-3.87551505953782,0.594361550677004,-6.52046730668132,7.0088683554385e-11,1.07905650103021e-09
ANGPTL7,26.0159325800152,-4.05213581079846,0.618997090654493,-6.54629217483713,5.89831330039143e-11,9.20750764009065e-10
ANK2,369.461951965773,-3.00832613412346,0.456537917186715,-6.58943325597446,4.41508654196089e-11,7.06604838200777e-10
ANKRD1,35.9849640336763,1.64186991930412,0.584501946252746,2.80900676179127,0.00496946028265619,0.0126070947833602
ANKRD19P,347.198252185172,2.53192279838805,0.423329743100617,5.98097071999561,2.21811747474329e-09,2.55647828163819e-08
ANKRD29,157.984886314103,-2.14585603628342,0.446108752324373,-4.81016349735978,1.50806888838082e-06,9.62233779369858e-06
ANKRD33,4.4458545876569,2.46306926342358,0.793481792716199,3.10412826864262,0.00190840574786747,0.00550809917971162
ANKRD34B,26.3478839076432,3.3490393606668,0.667052146491922,5.02065599860468,5.1495310028313e-07,3.63232568162851e-06
ANKRD53,27.4155316889073,-1.56877682819815,0.284695712339208,-5.51036338169011,3.58093656602077e-08,3.21170221787996e-07
ANKS1B,38.9950250506269,-3.31825522854343,0.451219791965183,-7.35396648735539,1.9240999355775e-13,4.57783176526789e-12
ANKUB1,8.31739344936623,2.1685620521787,0.622902154960567,3.48138473259252,0.00049882842922162,0.00170747779057232
ANLN,3039.47815546952,2.04493264104803,0.263624125472224,7.75700113707344,8.6961150158518e-15,2.56441282750196e-13
ANO4,33.1976684099203,-1.86762405273599,0.460988479441311,-4.05134647833158,5.092373397928e-05,0.000226488689014638
ANO5,119.741958194441,-2.61374147439036,0.44621476009737,-5.85758631969057,4.6964272711278e-09,5.04848874404334e-08
ANTXR2,2560.36427151709,-2.52120946849981,0.282342793501212,-8.92960446142569,4.27534640061282e-19,2.88462429789676e-17
ANXA1,22138.4369145399,-1.53600105150743,0.368879693146699,-4.16396207230791,3.12772093147493e-05,0.000146753644550582
ANXA6,5000.21881371312,-2.36467041654694,0.326452166009441,-7.24354335109099,4.37111437163734e-13,9.86282144220805e-12
AOC3,2340.68463331307,-3.48253758361425,0.383876346098061,-9.07202962363468,1.16820330582001e-19,8.76257121499235e-18
AOC4P,18.4273574928689,-1.54188424801898,0.457928456011001,-3.36708546450745,0.000759671415064113,0.00246754259168762
AOX1,228.475713557762,-3.61178027531456,0.487025713560067,-7.4159950383587,1.20715018807643e-13,3.01082245785625e-12
APBB1,669.020713833013,-2.11872180000935,0.315587941618865,-6.7135701989784,1.89919183933909e-11,3.24793994219176e-10
APELA,24.9119300638084,2.67717006236591,0.63422376792938,4.22117586527285,2.43031230769728e-05,0.000117151080578207
APLN,419.350793956633,2.07292579789843,0.37748284934493,5.49144365497853,3.98661512223918e-08,3.54546804821576e-07
APOA1,30.4137993964619,1.64515637284551,0.568449677941044,2.89411083634415,0.00380233918525478,0.0100016975037665
APOA2,101.450831372014,6.16351204200515,0.951234735150799,6.4794858873904,9.20356746244046e-11,1.38415169736621e-09
APOA5,1.68372224704114,2.03710163162228,0.842602531855771,2.41763056080037,0.0156219285588113,0.0340510182785245
APOBEC2,9.39921817855379,-1.57970795047991,0.481557559803684,-3.28041356286444,0.00103655021320478,0.00324349332290945
APOBEC3A,388.878401662693,-1.87145091483825,0.524904828734727,-3.56531472447938,0.000363419819595917,0.00128663367709572
APOBEC3B,930.364137434056,1.80296117431679,0.354091269572164,5.09179787599747,3.5468409979736e-07,2.5856412634817e-06
APOC1,2056.77165343661,2.4650683442588,0.35129358471405,7.01711745253004,2.26492210449927e-12,4.49702512304783e-11
APOC2,5.38790954272075,2.4706265231632,0.539440259589727,4.57998171112079,4.6501659097767e-06,2.66798611696106e-05
APOC3,11.0363422068275,5.62781022475981,1.51421638460555,3.71664861242789,0.000201882912135143,0.000766837249071851
APOH,13.3848954983093,5.28597049807574,1.10879762567263,4.76729961869201,1.86711541914002e-06,1.16717060191693e-05
APOLD1,1501.64341519522,-2.45931482269413,0.276206689411935,-8.90389305172224,5.392140633036e-19,3.55746625863518e-17
AQP1,4292.81538165352,-2.4582416954293,0.271583529678896,-9.05151243278919,1.41001607871184e-19,1.03640850712733e-17
AQP12A,1.61646099177307,3.01059142782248,1.13582995496096,2.65056526698661,0.00803571997174648,0.0191720670607081
AQP12B,2.16771431952079,3.28231616666907,1.02641007840498,3.19786042219084,0.00138451275663219,0.00417857432654266
AQP2,1.52089530799944,-2.21357617786744,0.856724696615395,-2.58376604131113,0.00977280627129495,0.0226731556866853
ARC,101.396899215836,-2.26537859512502,0.532343018625512,-4.25548662397064,2.08594835476357e-05,0.000102374268359588
AREG,2194.68153824519,-1.62484285600429,0.523195216248272,-3.10561489391228,0.00189883836605406,0.00548405074807025
ARG2,463.708106178078,-1.73025771535966,0.294313335511292,-5.8789647174967,4.12840347582502e-09,4.48786975300509e-08
ARHGAP10,1515.18696256079,-1.53736098403208,0.199491811246704,-7.70638641468285,1.29430331292468e-14,3.75567907716367e-13
ARHGAP20,91.9558847588737,-3.30253000400465,0.366643361855189,-9.00747251305487,2.1085988576313e-19,1.49542100452714e-17
ARHGAP24,321.88633989847,-2.01164150359333,0.284919040047272,-7.06039688768981,1.66027707556711e-12,3.38428195807519e-11
ARHGAP39,797.426092656927,1.68369095015836,0.162779209633774,10.3434029072041,4.48329000461606e-25,9.95200715224673e-23
ARHGAP40,825.789835439775,1.62433556913759,0.433084544386446,3.75062003526078,0.000176397834848585,0.000679569444284777
ARHGAP6,380.600981498221,-2.05902061361223,0.418191049712317,-4.92363625435953,8.49506783609328e-07,5.72302020715019e-06
ARHGEF25,830.014819001449,-2.4810551079054,0.293497123777982,-8.45342222086717,2.82886408289916e-17,1.31645964176511e-15
ARHGEF26,422.912499177364,-1.98584194110744,0.311746484912852,-6.37005399327142,1.88961666345722e-10,2.65311263095656e-09
ARHGEF37,553.889536790678,-1.99948106955264,0.292743759541342,-6.83014070969553,8.48313843661433e-12,1.55114256191075e-10
ARHGEF38,37.126177361722,1.59451374747453,0.415379468817025,3.83869176783244,0.000123691589318231,0.000497230333155757
ARHGEF39,520.336877877498,1.67139095786459,0.202712201230015,8.24514236302966,1.64963698573079e-16,6.69445005653603e-15
ARID3A,1351.98340467791,1.95314063443989,0.375120489426312,5.20670208504717,1.9222633317882e-07,1.48677356930434e-06
ARID3C,5.67001872779111,1.96952384321281,0.444362552794222,4.43224531596583,9.32568267573156e-06,4.99448075270363e-05
ARID5A,1473.90236045055,-2.11551490119738,0.222309986140937,-9.51605880563643,1.79871715137873e-21,1.83155611588555e-19
ARID5B,3252.81178922896,-2.0424350115356,0.20663832748459,-9.88410541450936,4.87920170444266e-23,7.62736052360691e-21
